CÓDIGO_IES_PADRE,CÓDIGO_INSTITUCIÓN,NOMBRE_INSTITUCIÓN,ESTADO,NÚM_IDENTIFIC_TRIBUTARIA_NIT,PRINCIPAL_SECCIONAL,NATURALEZA_JURÍDICA,SECTOR,CARÁCTER_ACADÉMICO,DEPARTAMENTO_DOMICILIO,MUNICIPIO_DOMICILIO,DIRECCIÓN_DOMICILIO,TELÉFONO_DOMICILIO,ENTE_EMITE_NORMA_CREACIÓN,ACTO_ADMIN_NORMA_DE_CREACIÓN,NÚMERO_NORMA_DE_CREACIÓN,FECHA_NORMA_DE_CREACIÓN,PROGRAMAS_VIGENTES,PROGRAMAS_EN_CONVENIO,PÁGINA_WEB,ACREDITADA_ALTA_CALIDAD,FECHA_ACREDITACIÓN,RESOLUCIÓN_DE_LA_ACREDITACIÓN,VIGENCIA_DE_LA_ACREDITACIÓN,MISIÓN
1101,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,Activa,899.999.063-3,Principal,Nacional,Oficial,Universidad,"Bogotá, D.C.","Bogotá, D.C.",Carrera 45 #26 - 85,3165000,Ley,Congreso de la Rep¿blica,66,###############################################################################################################################################################################################################################################################,273,3,www.unal.edu.co,S,25-08-2021,15859,10,MISION
1101,1102,UNIVERSIDAD NACIONAL DE COLOMBIA,Activa,899.999.063-3,Seccional,Nacional,Oficial,Universidad,Antioquia,Medellín,"Calle 59A No 63 - 20, N¿cleo El Volador",4309000,Ley,Congreso de la Republica,66,###############################################################################################################################################################################################################################################################,124,,www.medellin.unal.edu.co,S,25-08-2021,15859,10,MISION
1101,1103,UNIVERSIDAD NACIONAL DE COLOMBIA,Activa,899.999.063-3,Seccional,Nacional,Oficial,Universidad,Caldas,Manizales,Carrera 27 No. 64-60,8879300,Ley,Congreso de la Republica,66,###############################################################################################################################################################################################################################################################,67,,www.manizales.unal.edu.co,S,25-08-2021,15859,10,"SERVIR A LA SOCIEDAD MEDIANTE LA CONSTRUCCI¿N DE NACI¿N DESDE LA REGI¿N, Y LA FORMACI¿N DE PROFESIONALES INTEGRALES, COMPETENTES NACIONAL E INTERNACIONALMENTE.

CON UNA BASE ¿TICA, HUMAN¿STICA, CIENT¿FICA,CREATIVA,CR¿TICA Y SOCIALMENTE RESPONSABLE, LA UNIVERSIDAD SE PROYECTA MEDIANTE LA DOCENCIA, LA INVESTIGACI¿N Y LA EXTENSI¿N,CONROGRAMAS DE IMPACTO SOCIAL A PARTIR DE LA DIVERSIDAD Y LA PLURALIDAD."
1101,1104,UNIVERSIDAD NACIONAL DE COLOMBIA,Activa,899.999.063-3,Seccional,Nacional,Oficial,Universidad,Valle del Cauca,Palmira,"Carrera 32 No 12 - 00 Chapinero, V¿a Candelaria",2868888,Ley,Congreso de la Republica,66,###############################################################################################################################################################################################################################################################,22,,www.palmira.unal.edu.co,S,25-08-2021,15859,10,"SE DEFINE COMO UN ENTE AUTONOMO, QUE CONFORME A LA CONSTITUCION NACIONAL DEBE CUMPLIR FUNCIONES DE ESTADO FRENTE A: LA PROMOCION DE LA EXCELENCIA DE LA EDUCACION SUPERIOR, EL FOMENTO DEL ACCESO A ELLA, EL DESARROLLO DE LAS CIENCIAS Y LAS ARTES, LA ASIMILACION Y PRODUCCION DEL CONOCIMIENTO REQUERIDO POR EL INTERES PUBLICO Y LA INTERACION E INTEGRACION ESTRATEGICA CON DIVERSOS SECTORES DE LA SOCIEDAD CIVIL PROPENDIENDO POR LA FORMACION DE CIUDADANOS SENSIBLES A LOS INTERESES NACIONALES, LIBRES, CREATIVOS, CRITICOS, RESPUTUOSOS DE LOS VALORES DEMOCRATICOS, LOS DEBERES CIVILES Y LOS DERECHOS HUMANOS. COMO UNIVERSIDAD PUBLICA, SE RECONOCE COMO UN CENTRO DE VIDA INTELECTUAL Y CULTURAL ABIERTO A TODAS LAS CORRIENTES DE PENSAMIENTO Y A TODOS LOS SECTORES SOCIALES Y CULTURALES DEL TERRITORIO NACIONAL. COMO UNIVERSIDAD NACIONAL, SEGUN SU ORIGEN HISTORICO, DEBER SERVIR A LA TAREA PERMANENTE DE LA CONSTRUCCION DE LA NACIONALIDAD EN UN PAIS PLURICULTURAL Y MULTIETNICO QUE DEBE PRESERVAR Y APROVECHAR SU RIQUEZA EN BIODIVERSIDAD Y RECURSOS NATURALES RENOVABLES Y NO RENOVABLES."
1105,1105,UNIVERSIDAD PEDAGOGICA NACIONAL,Activa,899.999.124-4,Principal,Nacional,Oficial,Universidad,"Bogotá, D.C.","Bogotá, D.C.",Calle  73  No.11-95,3471190,Decreto,Gobierno Nacional,197,01-02-1955,41,,www.pedagogica.edu.co,S,12-08-2021,14621,6,"LA UNIVERSIDAD PEDAGOGICA NACIONAL IMPULSA CONFORME A SUS ORIGENES Y VISION LA CONSTRUCCION DEL PROYECTO PEDAGOGICO DE LA NACION.  EN TAL SENTIDO, CENTRA SU COMPROMISO NSTITUCIONAL EN LA PROMOCION INTEGRAL DE LAS PERSONAS Y EL DESARROLLO SOCIAL Y CULTURAL DEL PAIS.

DESARROLLA LOS PROCESOS DE INVESTIGACION QUE SE REQUIEREN PARA EL AVANCE CIENTIFICO, TECNOLOGICO, ARTISTICO, POLITICO Y FILOSOFICO EN EL CAMPO DE LA EDUCACION Y LA PEDAGOGIA, FORMANDO REDES EDUCATIVAS, LOCALES, REGIONALES, NACIONALES E INTERNACIONALES.

INNOVA, ORIENTA Y DINAMIZA LOS PROCESOS PEDAGOGICOS Y ASUME UN COMPROMISO DECIDIDO CON LAS INSTITUCIONES EDUCATIVAS, LA FAMILIA Y LOS MEDIOS DE COMUNICACION, MEDIANTE UN ANALISIS PERMANENTE DE LOS PROBLEMAS EDUCATIVOS.

FORMA PROFESIONALES DE LA EDUCACION Y DEMAS AGENTES EDUCATIVOS EN TODOS LOS NIVELES Y MODALIDADES DEL SITEMA EDUCATIVO DEL PAIS Y ATIENDE LOS PROCESOS EDUCATIVOS ORIENTADOS A POBLACIONES ESPECIALES, Y EN AMBITOS NO FORMALES E INFORMALES.

EVALUA EL SISTEMA EDUCATIVO NACIONAL Y RETROALIMENTA AL MINESTERIO DE EDUCACION NACIONAL Y A OTROS ORGANISMOS GUBERNAMENTALES Y NO GUBERNAMENTALES PARA LA FORMULACION DE POLITICAS Y PARA LA CREACION, IMPLEMENTACION Y EVALUACION DE PROGRMAS Y PROYECTOS DE INVESTIGACION EN EDUCACION Y PEDAGOGIA."
1106,1106,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,Activa,891800330-1,Principal,Nacional,Oficial,Universidad,Boyacá,Tunja,Avenida Central del Norte 39-115,7422175,Decreto,Gobierno Nacional,2655,10-10-1953,160,,www.uptc.edu.co,S,10-12-2021,23655,6,"LA UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA (UPTC), TIENE COMO MISION LA FORMACION INTEGRAL, PROFESIONAL Y ETICA DE SUS ESTUDIANTES Y LA BUSQUEDA DE LA EXCELENCIA ACADEMICA;  EDIFICAMOS EL FUTURO POR MEDIO DE UN PROYECTO INSTITUCIONAL EN LO CIENTIFICO,  LO TECNICO, LO SOCIAL Y LO CULTURAL. CON TAL PROPOSITO,  PROMUEVE EL DESARROLLO DE LAS CAPACIDADES HUMANAS DE LA COMUNIDAD UNIVERSITARIA, A TRAVES DE LA ORIENTACION PEDAGOGICA, DE LA INVESTIGACION Y DE LA EXTENSION, LA INTERACCION CON LA SOCIEDAD Y LA CONSOLIDACION DEL SISTEMA REGIONAL UNIVERSITARIO.

LEMA

&quot;ORGULLOSOS DE NUESTRO PASADO, DESDE BOYACA, EDIFICAMOS EL FUTURO DE COLOMBIA&quot;"
1106,1107,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,Activa,891800330-1,Seccional,Nacional,Oficial,Universidad,Boyacá,Duitama,Carrera 18 Calle 23,604100,Decreto,Gobierno Nacional,2655,19-03-2007,22,,www.uptc.edu.co,S,10-12-2021,23655,6,"LA U.P.T.C. TIENE COMO MISION LA CONSTRUCCION DEL FUTURO EN LA FORMACION INTEGRAL Y PROFESIONAL CON EXCELENCIA ACADEMICA.  CON TAL PROPOSITO PROMUEVE EL DESARROLLO DE LAS CAPACIDADES HUMANAS Y SE APOYA EN LA DOCENCIA CON ENFASIS EN LA ORIENTACION PEDAGOGICA.  LA INVESTIGACION Y LA
EXTENSION COMO SERVICIO A LA COMUNIDAD Y EN CONSOLIDACION DEL SISTEMA REGIONAL UNIVERSITARIO."
1106,1108,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,Activa,891800330-1,Seccional,Nacional,Oficial,Universidad,Boyacá,Sogamoso,Calle 4 Sur No. 15-134,701693,Decreto,Gobierno Nacional.,2655,10-10-1953,26,,www.uptc.edu.co,S,10-12-2021,23655,6,"LA U.P.T.C. QUE A TRAVES DE LA CONSTRUCCION DEL PENSAMIENTO CRITICO Y ETICO ENCUENTRA SU GENESIS EN EL RECONOCIMIENTO DE NUESTRAS REALIDADES LOCALES Y MULTICULTURALES, PROPENDE POR EL FORTALECIMIENTO DE SU SER HISTORICO A PARTIR DE LO MUISCA Y LO HERRERA  EN LO PEDAGOGICO,DE SU SER TECNOLOGICO EN LA INNOVACION AL SERVICIO DEL PENSAMIENTO, Y DE SU SER INVESTIGATIVO EN LA CONSTRUCCION PERMANENTE DE NUEVAS REALIDADES NACIONALES, DIGNAS DE COMUNIDADES QUE DIRECTAMENTE INFLUYE A TRAVES DEL SISTYEMA REGIONAL UNIVERSITARIO.
EXTENSI¿N COMO SERVICIO A LA COMUNIDAD Y EN CONSOLIDACION DEL SISTEMA REGIONAL UNIVERSITARIO."
1106,1109,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,Activa,891800330-1,Seccional,Nacional,Oficial,Universidad,Boyacá,Chiquinquirá,Calle 14A No. 2-37,262598,Decreto,Gobierno Nacional,2655,10-10-1953,8,,www.uptc.edu.co,S,10-12-2021,23655,6,MISION
1110,1110,UNIVERSIDAD DEL CAUCA,Activa,891.500.319-2,Principal,Nacional,Oficial,Universidad,Cauca,Popayán,"Claustro de Santo Domingo, Calle 5 No. 4-70",8209900,Decreto,Gobierno Nacional,0,###############################################################################################################################################################################################################################################################,121,10,www.unicauca.edu.co,S,13-06-2019,6218,8,"LA UNIVERSIDAD DEL CAUCA ES UNA INSTITUCI¿N DE EDUCACI¿N SUPERIOR, P¿BLICA, AUT¿NOMA, DEL ORDEN NACIONAL, CREADA EN LOS OR¿GENES DE LA REP¿BLICA DE COLOMBIA. 

LA UNIVERSIDAD DEL CAUCA, FUNDADA EN SU TRADICI¿N Y LEGADO HIST¿RICO, ES UN PROYECTO CULTURAL QUE TIENE UN COMPROMISO VITAL Y PERMANENTE CON EL DESARROLLO SOCIAL, MEDIANTE LA EDUCACI¿N CR¿TICA, RESPONSABLE Y CREATIVA.

LA UNIVERSIDAD FORMA PERSONAS CON INTEGRIDAD ¿TICA, PERTINENCIA E IDONEIDAD PROFESIONAL, DEM¿CRATAS COMPROMETIDAS CON EL BIENESTAR DE LA SOCIEDAD EN ARMON¿A CON EL ENTORNO.

LA UNIVERSIDAD DEL CAUCA GENERA Y SOCIALIZA LA CIENCIA, LA T¿CNICA, LA TECNOLOG¿A, EL ARTE Y LA CULTURA EN LA DOCENCIA, LA INVESTIGACI¿N Y LA PROYECCI¿N SOCIAL."
