CÓDIGO_INSTITUCIÓN_PADRE,CÓDIGO_INSTITUCIÓN,NOMBRE_INSTITUCIÓN,ESTADO_INSTITUCIÓN,CARÁCTER_ACADÉMICO,SECTOR,REGISTRO_UNICO,CÓDIGO_SNIES_DEL_PROGRAMA,CÓDIGO_ANTERIOR_ICFES,NOMBRE_DEL_PROGRAMA,TITULO_OTORGADO,ESTADO_PROGRAMA,JUSTIFICACION,JUSTIFICACION_DETALLADA,RECONOCIMIENTO_DEL_MINISTERIO,RESOLUCIÓN_DE_APROBACIÓN,FECHA_DE_RESOLUCIÓN,FECHA_EJECUTORIA,VIGENCIA_AÑOS,FECHA_DE_REGISTRO_EN_SNIES,CINE_F_2013_AC_CAMPO_AMPLIO,CINE_F_2013_AC_CAMPO_ESPECÍFIC,CINE_F_2013_AC_CAMPO_DETALLADO,ÁREA_DE_CONOCIMIENTO,NÚCLEO_BÁSICO_DEL_CONOCIMIENTO,NIVEL_ACADÉMICO,NIVEL_DE_FORMACIÓN,MODALIDAD,NÚMERO_CRÉDITOS,NÚMERO_PERIODOS_DE_DURACIÓN,PERIODICIDAD,SE_OFRECE_POR_CICLOS_PROPEDÉUT,PERIODICIDAD_ADMISIONES,PROGRAMA_EN_CONVENIO,DEPARTAMENTO_OFERTA_PROGRAMA,MUNICIPIO_OFERTA_PROGRAMA,COSTO_MATRÍCULA_ESTUD_NUEVOS,VIGENCIA TRANSITORIA,OBSERVACIÓN DECRETO 1174/23
1101,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,Activa,Universidad,Oficial,,19,110146580001100111100,ADMINISTRACION DE EMPRESAS,ADMINISTRADOR(A) DE EMPRESAS,Activo,,,Acreditación de alta calidad,22262,23-11-23,12-12-23,6,21-03-98,Administración de Empresas y Derecho,Educación comercial y administración,Gestión y administración,"Economía, administración, contaduría y afines",Administración,Pregrado,Universitario,Presencial,164,10,Semestral,No,Semestral,N,"Bogotá, D.C.","Bogotá, D.C.",,,
1101,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,Activa,Universidad,Oficial,,13,110143010101100111100,ANTROPOLOGIA,ANTROPOLOGO(A),Activo,,,Acreditación de alta calidad,,,,8,21-03-98,Arte y Humanidades,Humanidades (Excepto idiomas),Historia y arqueología,Ciencias sociales y humanas,Antropología y  artes liberales,Pregrado,Universitario,Presencial,122,9,Semestral,No,Semestral,N,"Bogotá, D.C.","Bogotá, D.C.",,,
1101,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,Activa,Universidad,Oficial,,30,110147200001100111100,ARQUITECTURA,ARQUITECTO(A),Activo,,,Acreditación de alta calidad,,,,6,21-03-98,"Ingeniería, Industria y Construcción",Arquitectura y construcción,Arquitectura y urbanismo,"Ingeniería, arquitectura, urbanismo y afines",Arquitectura y afines,Pregrado,Universitario,Presencial,179,10,Semestral,No,Semestral,N,"Bogotá, D.C.","Bogotá, D.C.",,,
1101,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,Activa,Universidad,Oficial,,2497,110147300001100111100,ARTES PLASTICAS,MAESTRO EN ARTES PLASTICAS,Activo,,,Acreditación de alta calidad,,,,8,21-03-98,Arte y Humanidades,Artes,Bellas artes,Bellas artes,"Artes plásticas, visuales y afines",Pregrado,Universitario,Presencial,166,10,Semestral,No,Semestral,N,"Bogotá, D.C.","Bogotá, D.C.",,,
1101,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,Activa,Universidad,Oficial,,31,110145740001100111100,BIOLOGIA,BIOLOGO(A),Activo,,,Acreditación de alta calidad,14191,18-08-23,06-09-23,8,21-03-98,"Ciencias Naturales, Matemáticas y Estadística",Ciencias biológicas y afines,Biología,Matemáticas y ciencias naturales,"Biología, microbiología y afines",Pregrado,Universitario,Presencial,163,10,Semestral,No,Semestral,N,"Bogotá, D.C.","Bogotá, D.C.",,,
1101,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,Activa,Universidad,Oficial,,3140,110143200001100111100,CIENCIA POLÍTICA,POLITÓLOGO (A),Activo,,,Acreditación de alta calidad,,,,8,21-03-98,"Ciencias Sociales, Periodismo e Información",Ciencias sociales y del comportamiento,Ciencias políticas y educación cívica,Ciencias sociales y humanas,"Ciencia política, relaciones internacionales",Pregrado,Universitario,Presencial,126,8,Semestral,No,Semestral,N,"Bogotá, D.C.","Bogotá, D.C.",,,
1101,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,Activa,Universidad,Oficial,,106341,106341,CIENCIAS DE LA COMPUTACIÓN,CIENTÍFICO(A) DE LA COMPUTACIÓN,Activo,,,Registro calificado,12257,22-06-17,22-06-17,7,27-06-17,"Ciencias Naturales, Matemáticas y Estadística",Matemáticas y estadística,Matemáticas,Matemáticas y ciencias naturales,"Matemáticas, estadística y afines",Pregrado,Universitario,Presencial,139,9,Semestral,No,Semestral,N,"Bogotá, D.C.","Bogotá, D.C.",,,
1101,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,Activa,Universidad,Oficial,,6,110147910401100111100,CINE Y TELEVISION,REALIZADOR(A) DE CINE Y TELEVISION,Activo,,,Acreditación de alta calidad,,,,6,21-03-98,Arte y Humanidades,Artes,Técnicas audiovisuales y producción para medios de comunicación,Bellas artes,"Artes plásticas, visuales y afines",Pregrado,Universitario,Presencial,158,10,Semestral,No,Semestral,N,"Bogotá, D.C.","Bogotá, D.C.",,,
1101,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,Activa,Universidad,Oficial,,16895,110146570831100111100,CONTADURIA PUBLICA,CONTADOR(A) PUBLICO(A),Activo,,,Acreditación de alta calidad,,,,8,07-11-02,Administración de Empresas y Derecho,Educación comercial y administración,Contabilidad e impuestos,"Economía, administración, contaduría y afines",Contaduría pública,Pregrado,Universitario,Presencial,167,10,Semestral,No,Semestral,N,"Bogotá, D.C.","Bogotá, D.C.",,,
1101,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,Activa,Universidad,Oficial,,17,110143403201100111100,DERECHO,ABOGADO(A),Activo,,,Acreditación de alta calidad,,,,8,21-03-98,Administración de Empresas y Derecho,Derecho,Derecho,Ciencias sociales y humanas,Derecho y afines,Pregrado,Universitario,Presencial,180,10,Semestral,No,Semestral,N,"Bogotá, D.C.","Bogotá, D.C.",,,
